PacketNumber,Timestamp,Temperature,Pressure,AltitudePressure,Humidity,GPSFix,Latitude,Longitude,AltitudeGPS,SpeedKnots,Angle,ax,ay,az,gx,gy,gz,mx,my,mz,Magheading,yaw,roll,pitch,flightStage,RSSI
812,384.4,28.0,947.9,573.1,40,1,50.48249,6.18070,519.7,0.100,128,1.3436,2.0517,9.6389,-0.2451,1.3866,-0.6494,8.9271,-15.1902,-34.5038,321,293,-15,12,1,-60
813,384.9,28.2,948.1,571.2,40,1,50.48249,6.18070,519.7,0.100,128,3.2498,1.4225,9.5673,0.4621,-0.1081,-0.3791,21.2609,-7.6051,-32.1914,326,295,-4,-18,1,-62
814,385.3,28.5,948.5,567.5,42,1,50.48249,6.18070,519.7,0.060,128,3.0002,-0.9237,10.8163,0.2802,-0.0482,0.1260,19.0891,-3.0419,-35.9202,352,291,-3,-6,1,-59
815,385.8,28.2,948.1,571.5,41,1,50.48249,6.18070,519.7,0.060,128,1.4122,0.2956,9.3572,0.1606,-0.2051,0.0756,14.0613,-1.0743,-38.9269,357,289,-0,2,1,-62
816,386.2,28.2,948.2,570.5,39,1,50.48248,6.18071,519.7,0.120,128,1.1460,-0.8988,10.2235,0.2576,-0.0441,-0.1722,13.3224,1.4275,-39.7875,4,286,0,3,1,-64
817,386.7,27.9,947.7,574.9,40,1,50.48248,6.18071,519.7,0.120,128,-0.0444,-1.5043,9.6542,-0.2541,0.1634,-0.0038,13.3552,1.8066,-40.0700,11,284,-1,1,1,-58
818,387.1,28.4,948.5,568.3,39,1,50.48248,6.18071,519.7,0.120,128,1.2584,-1.9806,9.8232,0.3268,0.1188,0.0788,14.4202,8.8523,-41.0070,33,271,-1,1,1,-61
819,387.5,27.6,947.4,577.9,40,1,50.48248,6.18072,519.7,0.120,128,0.3236,-2.0719,9.0027,-0.4145,0.0381,0.0365,12.1109,14.2622,-40.7295,40,267,10,3,1,-56
820,388.0,27.9,947.7,575.4,41,1,50.48248,6.18072,519.7,0.120,128,0.0243,-1.9735,9.2105,0.0175,-0.0201,-0.0899,11.6748,12.1861,-41.6780,35,266,11,4,1,-55
821,388.4,27.6,947.2,579.5,40,1,50.48249,6.18074,519.7,0.140,128,-0.4396,0.4461,10.0498,-0.3495,0.0201,0.2457,8.8034,12.2710,-42.4478,44,263,18,3,1,-55
